StartDate,Consumption
07-02-2019,241.2
08-02-2019,254
09-02-2019,78.9
10-02-2019,65.65
11-02-2019,269.9
12-02-2019,278.15
13-02-2019,272.75
14-02-2019,252.85
15-02-2019,249.8
16-02-2019,102.4
17-02-2019,61.6
18-02-2019,266.6
19-02-2019,280.95
20-02-2019,280.9
21-02-2019,255.7
22-02-2019,220.5
23-02-2019,92.7
24-02-2019,76.95
25-02-2019,254
26-02-2019,236.5
27-02-2019,229.35
28-02-2019,245.75
01-03-2019,199.9
02-03-2019,81.9
03-03-2019,51.4
04-03-2019,234.3
05-03-2019,244.2
06-03-2019,220.5
07-03-2019,209.35
08-03-2019,213
09-03-2019,74.95
10-03-2019,54.05
11-03-2019,228.2
12-03-2019,216.4
13-03-2019,203.3
14-03-2019,225.6
15-03-2019,207.95
16-03-2019,84.3
17-03-2019,54.05
18-03-2019,239.7
19-03-2019,233.5
20-03-2019,209.05
21-03-2019,238.1
22-03-2019,175.6
23-03-2019,79.4
24-03-2019,52.65
25-03-2019,243.2
26-03-2019,254.05
27-03-2019,215.8
28-03-2019,232.95
29-03-2019,222.15
30-03-2019,109.6
31-03-2019,56.2
31-03-2019,234.95
01-04-2019,208.95
02-04-2019,247.8
03-04-2019,219.45
04-04-2019,224.5
05-04-2019,75.45
06-04-2019,51.9
07-04-2019,227.5
08-04-2019,205.85
09-04-2019,221.65
10-04-2019,242.2
11-04-2019,235.15
12-04-2019,80.45
13-04-2019,62.4
14-04-2019,240.3
15-04-2019,226.05
16-04-2019,195.05
17-04-2019,180.65
18-04-2019,158.1
19-04-2019,59.35
20-04-2019,28.95
21-04-2019,33.05
22-04-2019,198.6
23-04-2019,228.85
24-04-2019,197.3
25-04-2019,175.35
26-04-2019,62.55
27-04-2019,52.3
28-04-2019,214.5
29-04-2019,195.05
30-04-2019,43.15
01-05-2019,189.95
02-05-2019,169.4
03-05-2019,67.65
04-05-2019,41.8
05-05-2019,218.95
06-05-2019,224
07-05-2019,234.45
08-05-2019,212.75
09-05-2019,183.6
10-05-2019,67.9
11-05-2019,44.7
12-05-2019,190.55
13-05-2019,191.15
14-05-2019,178.5
15-05-2019,195.9
16-05-2019,170.7
